icao,timestamp,anomaly_score,reconstruction_score,feature_context_score,threshold,reconstruction_threshold,feature_context_threshold,is_seq_anom,is_strong_seq_anom,seq_anom_int,anom_count_last_m,is_persistent_anom,is_hybrid_ghost,is_final_anom,scenario,seq_label,pred_label,run_id
SIM0000,1700000020,0.94096524,0.8029487,0.69008255,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0001,1700000020,0.49895492,0.49895492,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0002,1700000020,0.6332036,0.5551068,0.3904841,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0003,1700000020,0.5823828,0.5823828,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0004,1700000020,0.3901277,0.3901277,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0005,1700000020,0.51058704,0.43756664,0.36510202,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0006,1700000020,0.58100903,0.58100903,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0007,1700000020,1.3990458,1.3293782,0.34833777,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0008,1700000020,2.5738103,2.4534752,0.6016751,2.210688591003418,1.6463541984558105,3.490756034851074,True,True,1,1.0,False,False,False,normal,0,0,0
SIM0009,1700000020,0.5575196,0.5575196,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0010,1700000020,0.7621166,0.7621166,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0011,1700000020,0.72667706,0.651705,0.37486008,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0012,1700000020,1.239849,1.1132199,0.6331458,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0013,1700000020,0.5755225,0.5755225,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0014,1700000020,0.65411323,0.65411323,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0015,1700000020,0.76219815,0.76219815,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0016,1700000020,0.7070384,0.65575755,0.25640425,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0017,1700000020,0.62094,0.62094,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0018,1700000020,0.8251733,0.8251733,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0019,1700000020,1.2878017,1.1321084,0.77846646,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0020,1700000020,0.6668169,0.6089725,0.28922206,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0021,1700000020,0.5473312,0.5473312,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0022,1700000020,0.8896933,0.765584,0.62054664,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0023,1700000020,1.5848746,1.4382935,0.7329059,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0024,1700000020,0.29349014,0.29349014,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0000,1700000021,0.77527225,0.6324698,0.7140122,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0001,1700000021,0.44467372,0.44467372,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0002,1700000021,0.567909,0.48038375,0.4376262,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0003,1700000021,0.5467531,0.5467531,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0004,1700000021,0.3528804,0.3528804,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0005,1700000021,0.5275904,0.39267114,0.67459637,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0006,1700000021,0.52407867,0.52407867,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0007,1700000021,1.2564034,1.181691,0.37356183,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0008,1700000021,2.0797994,1.9815124,0.49143493,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,1.0,False,False,False,normal,0,0,0
SIM0009,1700000021,0.4119434,0.4119434,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0010,1700000021,0.7310354,0.7310354,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0011,1700000021,0.6817887,0.603746,0.39021328,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0012,1700000021,1.2319674,1.0756301,0.7816871,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0013,1700000021,0.5236776,0.5236776,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0014,1700000021,0.5796341,0.5796341,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0015,1700000021,0.7078427,0.7078427,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0016,1700000021,0.5749719,0.5562038,0.09384075,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0017,1700000021,0.5521102,0.5521102,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0018,1700000021,0.7792097,0.7792097,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0019,1700000021,1.1384392,0.9767977,0.80820745,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0020,1700000021,0.65008295,0.5578299,0.46126512,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0021,1700000021,0.51137197,0.51137197,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0022,1700000021,0.8173682,0.6950807,0.6114375,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0023,1700000021,1.3782989,1.2580861,0.6010637,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0024,1700000021,0.25147736,0.25147736,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0000,1700000022,0.69490886,0.5819582,0.5647533,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0001,1700000022,0.42580175,0.42580175,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0002,1700000022,0.5317136,0.45008168,0.40815964,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0003,1700000022,0.521444,0.521444,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0004,1700000022,0.32150677,0.32150677,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0005,1700000022,0.52602077,0.35963154,0.83194613,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0006,1700000022,0.49092788,0.49092788,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0007,1700000022,1.0314168,0.8662482,0.82584286,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0008,1700000022,1.7770177,1.6161937,0.8041203,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,1.0,False,False,False,normal,0,0,0
SIM0009,1700000022,0.34597236,0.34597236,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0010,1700000022,0.69103086,0.69103086,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0011,1700000022,0.6017738,0.5673269,0.17223449,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0012,1700000022,1.1489954,0.97812194,0.85436714,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0013,1700000022,0.42604962,0.42604962,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0014,1700000022,0.5120693,0.5120693,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0015,1700000022,0.6474935,0.6474935,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0016,1700000022,0.5230113,0.5186086,0.022013541,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0017,1700000022,0.45971853,0.45971853,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0018,1700000022,0.7138371,0.7138371,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0019,1700000022,1.0431199,0.9115213,0.657993,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0020,1700000022,0.60392666,0.49860418,0.52661234,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0021,1700000022,0.4588695,0.4588695,0.0,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0022,1700000022,0.7716932,0.6130723,0.79310465,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
SIM0023,1700000022,1.1438965,1.0320852,0.55905664,2.210688591003418,1.6463541984558105,3.490756034851074,False,False,0,0.0,False,False,False,normal,0,0,0
